dataset,feature_set,model,cv_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,mcc_mean,mcc_std,balanced_acc_mean,balanced_acc_std,pr_auc_mean,pr_auc_std
kc1,static,logistic_regression,5,0.7448275862068966,0.13488004976281343,0.6789592760180996,0.1545482382997254,0.75,0.15590239111558088,0.7101379310344828,0.15056248085792404,0.8176470588235294,0.11964199126806063,0.4883631053775542,0.2671453653515235,0.7455882352941174,0.1351532905886484,0.7885419463621798,0.1409257586891783
kc1,static,random_forest,5,0.7448275862068965,0.08992003317520893,0.656302294197031,0.09987390995432473,0.8333333333333334,0.10206207261596575,0.7315651135005974,0.08872777371951625,0.825,0.09199506029565101,0.5133991870931562,0.16992224933791777,0.7578431372549019,0.08688716847806756,0.7712622336285195,0.1041407467963199
kc1,static,xgboost,5,0.7241379310344828,0.12902266850944624,0.6612971342383107,0.149015088994205,0.7499999999999999,0.11785113019775793,0.6972808545222339,0.1198033357543543,0.8245098039215687,0.1101251428933024,0.45589207978278273,0.24524328948743407,0.7279411764705882,0.12294055101945538,0.7501520517522839,0.12051298239739243
kc1,static,lightgbm,5,0.7310344827586206,0.10170952554312156,0.6592156862745098,0.11691068565293133,0.7666666666666666,0.09128709291752768,0.7056194125159643,0.09467184729169591,0.8215686274509804,0.08634967759322365,0.4698545639964215,0.191212359450142,0.7362745098039214,0.09639553512802458,0.7261391946976312,0.09102461235976604
kc1,static,logistic_regression,10,0.7714285714285714,0.16916494922220582,0.736031746031746,0.20756398635605067,0.7333333333333334,0.1956312984628779,0.7297202797202799,0.19293138171387225,0.8166666666666668,0.1663369795891602,0.5384650071225757,0.34012822296381273,0.7666666666666666,0.1696681886467912,0.8027197802197803,0.13761772445211265
kc1,static,random_forest,10,0.7514285714285716,0.18012621201528684,0.6890079365079365,0.19277311895756155,0.8,0.20487876571761973,0.7312454212454214,0.1867106943500905,0.8233796296296296,0.15617634676196465,0.5183606072044962,0.3508638157705245,0.7583333333333333,0.17755700991385084,0.8004226791726792,0.15545805706563098
kc1,static,xgboost,10,0.7647619047619048,0.16836175044334056,0.6969047619047619,0.18151645582133324,0.8166666666666668,0.18341748910243533,0.7465326340326339,0.17434154091442736,0.8141203703703704,0.15904067477549177,0.5426380695868225,0.32920066232651835,0.7715277777777778,0.1661982228540227,0.7770934620934621,0.15376076794052157
kc1,static,lightgbm,10,0.7447619047619047,0.18338932698140553,0.6824783549783549,0.178610971542614,0.8,0.18921540406584889,0.728110908699144,0.1719859426956739,0.8145833333333334,0.1408065909545481,0.504812658005033,0.35204093996177693,0.7520833333333334,0.1777756679080047,0.7709985847485846,0.14691022969955017
pc1,static,logistic_regression,5,0.8170212765957447,0.022088526953755214,0.2770114942528735,0.06062605514593376,0.7012820512820512,0.1748249805748727,0.39691388750622203,0.08951200135000759,0.842045567481614,0.06812460319807373,0.35963604937877114,0.11813581400052488,0.7644491651759096,0.08900696566043019,0.3900110525956863,0.16192547114127886
pc1,static,random_forest,5,0.8851063829787235,0.037326801040966716,0.3641941391941391,0.20982079783642102,0.32820512820512826,0.14479235398500187,0.34024242424242424,0.16519135905315446,0.8571045455674815,0.04763681784928146,0.28100068573508274,0.1889087386693706,0.6330342501490758,0.08345637833892737,0.3819825518271939,0.12657525516630388
pc1,static,xgboost,5,0.8567375886524822,0.024771984675990046,0.26590354090354096,0.09877503214331833,0.37564102564102564,0.15633667878480992,0.3098263305322129,0.11864100339612542,0.8568400914331147,0.040444506758441544,0.2379251342820829,0.13348910323258964,0.6388924604949315,0.08070240752040064,0.3787222559431202,0.13147743975499732
pc1,static,lightgbm,5,0.8893617021276595,0.02949877211785165,0.383897148603031,0.1561601784153169,0.39230769230769236,0.13085404489387695,0.38416117216117207,0.13452447055844888,0.8505692829457363,0.04279925343614103,0.3259241510523204,0.1505154073577127,0.6643042822003579,0.07181004301187638,0.3733584510294099,0.1463096530408279
pc1,static,logistic_regression,10,0.8141851106639839,0.026321901546345065,0.2696558704453441,0.057199121996293796,0.6904761904761905,0.2492114042556759,0.383177184879702,0.0893130490471518,0.8481124084249083,0.08414210704257849,0.3480375416449107,0.13091104718740532,0.7582669413919414,0.11331520370517195,0.45529768352151045,0.19289999017728135
pc1,static,random_forest,10,0.8908853118712274,0.0396567232282978,0.43503968253968245,0.2399494269908297,0.41428571428571426,0.18381199110113128,0.4006243756243756,0.1438490712793792,0.8702853136446886,0.08474026267876034,0.3544498335694509,0.17770255437950097,0.6753279532967034,0.09596142591494175,0.4829508608530153,0.1383927741065342
pc1,static,xgboost,10,0.8879678068410464,0.02701007714942294,0.40219696969696966,0.14822369754470816,0.4976190476190476,0.1628241867703631,0.4316642181348064,0.11911097925771301,0.8698603479853478,0.07714041465521763,0.3817656659163671,0.13589617065466778,0.71152586996337,0.07736212998238388,0.46494666631570236,0.17120395547316866
pc1,static,lightgbm,10,0.9035814889336017,0.029621278179616805,0.5175396825396825,0.22680752185372896,0.46190476190476193,0.19349460263708926,0.44621156621156616,0.12790067304096553,0.8721480082417583,0.07366017593765578,0.41673007141658464,0.13483749413182541,0.7037889194139194,0.08960349106004707,0.475695754604205,0.15551674179379882
pc3,static,logistic_regression,5,0.7818403375112639,0.010434359600558697,0.26834820006371457,0.017362970207346923,0.65625,0.06987712429686843,0.380586701434159,0.027151180377364897,0.798960981189629,0.031028979276355024,0.3165152753507014,0.03887322236807903,0.7262109176410777,0.031223455033085292,0.34640957501394654,0.05689665353524204
pc3,static,random_forest,5,0.8605124109117719,0.015579200247660631,0.3615675990675991,0.046208759067222646,0.45625,0.04739297152532219,0.4017814715553782,0.03611507795779761,0.8351405614514489,0.03798391526199213,0.32809582896126566,0.042824956451892306,0.6814346085409253,0.022987556725570905,0.37207566426710376,0.04503926988666214
pc3,static,xgboost,5,0.8605083149012861,0.012538259589337436,0.37037507977256984,0.0320902728629973,0.50625,0.040745015032516554,0.4266265866140146,0.025471760837938985,0.8280691567107269,0.021560381076638945,0.35582981288613336,0.029807580241814912,0.7035774656837824,0.017860371138445862,0.346456913479933,0.033035950854779006
